#Data tag : 19v1 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 315646:6638 | 05/03/18 03:51:56 | 1033 | 1033 | 0.195          | 0.192         |
| 315647:6638 | 05/03/18 10:38:46 | 58   | 58   | 0.009          | 0.008         |
| 315648:6638 | 05/03/18 11:04:01 | 110  | 110  | 0.015          | 0.015         |
| 315689:6639 | 05/03/18 14:58:22 | 1111 | 1111 | 0.339          | 0.329         |
| 315690:6639 | 05/03/18 22:39:08 | 645  | 645  | 0.121          | 0.119         |
| 315702:6640 | 05/04/18 08:08:15 | 76   | 76   | 0.025          | 0.023         |
| 315703:6640 | 05/04/18 08:40:27 | 545  | 545  | 0.163          | 0.158         |
| 315704:6640 | 05/04/18 12:15:58 | 61   | 61   | 0.015          | 0.015         |
| 315705:6640 | 05/04/18 12:42:46 | 700  | 700  | 0.135          | 0.133         |
| 315713:6641 | 05/04/18 19:35:25 | 1061 | 1061 | 0.365          | 0.353         |
| 315721:6642 | 05/05/18 05:08:14 | 589  | 589  | 0.218          | 0.210         |
| 315741:6643 | 05/05/18 11:57:43 | 59   | 59   | 0.025          | 0.024         |
| 315764:6645 | 05/05/18 15:48:29 | 273  | 273  | 0.119          | 0.114         |
| 315770:6646 | 05/06/18 02:20:23 | 294  | 294  | 0.126          | 0.122         |
| 315784:6648 | 05/06/18 11:07:00 | 126  | 126  | 0.054          | 0.052         |
| 315785:6648 | 05/06/18 12:23:07 | 303  | 303  | 0.109          | 0.106         |
| 315786:6648 | 05/06/18 14:25:10 | 72   | 72   | 0.023          | 0.022         |
| 315790:6648 | 05/06/18 18:12:51 | 921  | 921  | 0.177          | 0.173         |
| 315800:6650 | 05/07/18 06:55:20 | 581  | 581  | 0.213          | 0.206         |
| 315801:6650 | 05/07/18 10:57:12 | 344  | 344  | 0.101          | 0.098         |
| 315840:6654 | 05/07/18 21:19:16 | 1122 | 1122 | 0.364          | 0.354         |
| 315973:6659 | 05/08/18 23:33:11 | 855  | 855  | 0.285          | 0.278         |
| 315974:6659 | 05/09/18 05:17:09 | 71   | 71   | 0.019          | 0.019         |
| 316058:6662 | 05/09/18 20:47:16 | 364  | 364  | 0.143          | 0.137         |
| 316059:6662 | 05/09/18 23:10:21 | 566  | 566  | 0.178          | 0.170         |
| 316060:6662 | 05/10/18 02:53:15 | 935  | 935  | 0.204          | 0.198         |
| 316061:6662 | 05/10/18 09:00:15 | 36   | 36   | 0.006          | 0.006         |
| 316062:6662 | 05/10/18 10:24:04 | 4    | 4    | 0.001          | 0.001         |
| 316082:6663 | 05/10/18 12:45:58 | 371  | 371  | 0.146          | 0.141         |
| 316110:6666 | 05/10/18 21:22:27 | 210  | 210  | 0.085          | 0.082         |
| 316111:6666 | 05/10/18 22:46:45 | 48   | 48   | 0.018          | 0.015         |
| 316113:6666 | 05/10/18 23:16:41 | 64   | 64   | 0.022          | 0.020         |
| 316114:6666 | 05/10/18 23:42:59 | 1561 | 1561 | 0.377          | 0.367         |
| 316153:6672 | 05/11/18 17:03:13 | 770  | 770  | 0.263          | 0.256         |
| 316186:6674 | 05/12/18 03:00:17 | 44   | 44   | 0.017          | 0.015         |
| 316187:6674 | 05/12/18 03:18:33 | 1970 | 1970 | 0.534          | 0.512         |
| 316199:6675 | 05/12/18 18:55:11 | 1165 | 1165 | 0.416          | 0.401         |
| 316200:6675 | 05/13/18 02:29:14 | 10   | 10   | 0.003          | 0.002         |
| 316201:6675 | 05/13/18 02:36:34 | 498  | 498  | 0.116          | 0.110         |
| 316202:6675 | 05/13/18 05:53:19 | 403  | 403  | 0.077          | 0.075         |
| 316216:6677 | 05/13/18 11:57:38 | 442  | 442  | 0.179          | 0.171         |
| 316217:6677 | 05/13/18 15:05:03 | 264  | 264  | 0.091          | 0.088         |
| 316218:6677 | 05/13/18 16:52:47 | 1008 | 1008 | 0.250          | 0.243         |
| 316219:6677 | 05/13/18 23:33:19 | 283  | 283  | 0.050          | 0.049         |
| 316239:6681 | 05/14/18 05:52:32 | 589  | 589  | 0.217          | 0.209         |
| 316240:6681 | 05/14/18 09:45:29 | 1224 | 1224 | 0.293          | 0.283         |
| 316241:6681 | 05/14/18 17:44:39 | 325  | 325  | 0.055          | 0.053         |
| 316271:6683 | 05/15/18 00:23:54 | 86   | 86   | 0.032          | 0.030         |
| 316361:6688 | 05/15/18 17:14:35 | 189  | 189  | 0.028          | 0.026         |
| 316362:6688 | 05/15/18 18:35:04 | 425  | 425  | 0.056          | 0.054         |
| 316363:6688 | 05/15/18 21:30:58 | 48   | 48   | 0.005          | 0.005         |
| 316377:6690 | 05/16/18 01:56:02 | 21   | 21   | 0.003          | 0.002         |
| 316378:6690 | 05/16/18 02:06:22 | 29   | 29   | 0.006          | 0.003         |
| 316379:6690 | 05/16/18 02:20:12 | 70   | 70   | 0.015          | 0.008         |
| 316380:6690 | 05/16/18 02:51:00 | 1208 | 1208 | 0.179          | 0.175         |
| 316455:6693 | 05/16/18 19:16:25 | 36   | 36   | 0.010          | 0.010         |
| 316457:6693 | 05/16/18 19:38:28 | 1454 | 1454 | 0.335          | 0.326         |
| 316469:6694 | 05/17/18 07:48:25 | 428  | 428  | 0.154          | 0.149         |
| 316470:6694 | 05/17/18 11:54:09 | 322  | 322  | 0.085          | 0.082         |
| 316472:6694 | 05/17/18 15:29:43 | 258  | 258  | 0.053          | 0.051         |
| 316505:6696 | 05/18/18 00:24:11 | 1319 | 1319 | 0.414          | 0.401         |
| 316569:6700 | 05/19/18 02:15:13 | 1888 | 1888 | 0.499          | 0.485         |
| 316590:6702 | 05/19/18 20:55:25 | 510  | 510  | 0.195          | 0.189         |
| 316613:6706 | 05/20/18 07:52:22 | 193  | 193  | 0.032          | 0.031         |
| 316615:6706 | 05/20/18 09:12:45 | 338  | 338  | 0.050          | 0.049         |
| 316666:6709 | 05/20/18 21:51:33 | 981  | 981  | 0.290          | 0.279         |
| 316667:6709 | 05/21/18 04:15:41 | 197  | 197  | 0.044          | 0.042         |
| 316700:6710 | 05/21/18 11:45:22 | 311  | 311  | 0.122          | 0.114         |
| 316701:6710 | 05/21/18 14:12:33 | 479  | 479  | 0.150          | 0.144         |
| 316702:6710 | 05/21/18 17:21:19 | 388  | 388  | 0.098          | 0.095         |
| 316715:6711 | 05/22/18 01:10:33 | 13   | 13   | 0.003          | 0.003         |
| 316716:6711 | 05/22/18 01:30:21 | 181  | 181  | 0.070          | 0.062         |
| 316717:6711 | 05/22/18 02:44:00 | 192  | 192  | 0.067          | 0.063         |
| 316718:6711 | 05/22/18 04:00:35 | 311  | 311  | 0.094          | 0.090         |
| 316719:6711 | 05/22/18 06:17:36 | 136  | 136  | 0.035          | 0.032         |
| 316720:6711 | 05/22/18 07:16:06 | 182  | 182  | 0.043          | 0.042         |
| 316721:6711 | 05/22/18 08:29:42 | 15   | 15   | 0.003          | 0.003         |
| 316722:6711 | 05/22/18 08:45:58 | 751  | 751  | 0.140          | 0.135         |
| 316723:6711 | 05/22/18 13:38:48 | 64   | 64   | 0.010          | 0.010         |
| 316758:6712 | 05/22/18 16:43:00 | 1599 | 1599 | 0.471          | 0.455         |
| 316766:6714 | 05/23/18 05:50:20 | 2148 | 2148 | 0.578          | 0.560         |
| 316876:6719 | 05/24/18 23:17:15 | 610  | 610  | 0.236          | 0.216         |
| 316877:6719 | 05/25/18 03:18:15 | 395  | 395  | 0.115          | 0.111         |
| 316879:6719 | 05/25/18 06:01:35 | 156  | 156  | 0.038          | 0.036         |
| 316928:6724 | 05/25/18 17:30:22 | 149  | 149  | 0.046          | 0.044         |
| 316985:6731 | 05/27/18 20:04:08 | 471  | 471  | 0.178          | 0.172         |
| 316993:6733 | 05/28/18 03:32:50 | 211  | 211  | 0.080          | 0.074         |
| 316994:6733 | 05/28/18 04:58:46 | 14   | 14   | 0.005          | 0.005         |
| 316995:6733 | 05/28/18 05:06:29 | 623  | 623  | 0.192          | 0.186         |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+-------+-------+-------------------+------------------+
| 49    | 117  | 55294 | 55294 | 14.456            | 13.955           |
+-------+------+-------+-------+-------------------+------------------+
#Check JSON:
#(run,ls) in json but not in results: []
