#Data tag : 19v1 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 320673:7005 | 08/01/18 02:33:01 | 867  | 867  | 0.066          | 0.064         |
| 320674:7005 | 08/01/18 08:11:46 | 599  | 599  | 0.034          | 0.034         |
| 320688:7006 | 08/01/18 15:24:06 | 483  | 483  | 0.135          | 0.131         |
| 320712:7008 | 08/02/18 02:45:01 | 204  | 204  | 0.072          | 0.069         |
| 320757:7013 | 08/02/18 14:37:56 | 332  | 332  | 0.121          | 0.116         |
| 320804:7017 | 08/03/18 07:27:51 | 1229 | 1229 | 0.330          | 0.319         |
| 320807:7017 | 08/03/18 15:28:46 | 7    | 7    | 0.001          | 0.000         |
| 320809:7017 | 08/03/18 15:43:13 | 716  | 716  | 0.109          | 0.106         |
| 320821:7018 | 08/03/18 23:57:32 | 181  | 181  | 0.063          | 0.060         |
| 320822:7018 | 08/04/18 01:09:16 | 523  | 523  | 0.155          | 0.150         |
| 320823:7018 | 08/04/18 04:34:31 | 360  | 360  | 0.083          | 0.080         |
| 320824:7018 | 08/04/18 06:55:49 | 1051 | 1051 | 0.168          | 0.164         |
| 320838:7020 | 08/04/18 17:31:12 | 265  | 265  | 0.097          | 0.092         |
| 320840:7020 | 08/04/18 19:20:14 | 471  | 471  | 0.147          | 0.141         |
| 320841:7020 | 08/04/18 22:26:03 | 205  | 205  | 0.052          | 0.050         |
| 320853:7024 | 08/05/18 06:48:20 | 329  | 329  | 0.122          | 0.118         |
| 320854:7024 | 08/05/18 08:59:06 | 125  | 125  | 0.041          | 0.040         |
| 320855:7024 | 08/05/18 09:50:43 | 565  | 565  | 0.152          | 0.146         |
| 320856:7024 | 08/05/18 13:36:28 | 159  | 159  | 0.035          | 0.033         |
| 320857:7024 | 08/05/18 14:39:57 | 272  | 272  | 0.055          | 0.053         |
| 320858:7024 | 08/05/18 16:27:33 | 230  | 230  | 0.039          | 0.037         |
