#Data tag : 19v1 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 319337:6901 | 07/08/18 02:05:51 | 2193 | 2193 | 0.237          | 0.232         |
| 319347:6904 | 07/08/18 19:53:18 | 651  | 651  | 0.229          | 0.211         |
| 319348:6904 | 07/09/18 00:07:18 | 37   | 37   | 0.011          | 0.005         |
| 319349:6904 | 07/09/18 00:23:34 | 148  | 148  | 0.042          | 0.041         |
| 319449:6909 | 07/09/18 20:59:32 | 698  | 698  | 0.259          | 0.249         |
| 319450:6909 | 07/10/18 01:32:44 | 681  | 681  | 0.212          | 0.207         |
| 319456:6909 | 07/10/18 07:08:40 | 209  | 209  | 0.054          | 0.052         |
| 319459:6909 | 07/10/18 08:32:35 | 78   | 78   | 0.018          | 0.017         |
| 319486:6911 | 07/11/18 09:10:21 | 66   | 66   | 0.021          | 0.020         |
| 319503:6911 | 07/11/18 17:30:46 | 317  | 317  | 0.095          | 0.091         |
| 319524:6912 | 07/11/18 22:27:29 | 1424 | 1424 | 0.470          | 0.456         |
| 319526:6912 | 07/12/18 08:14:19 | 282  | 282  | 0.072          | 0.070         |
| 319528:6912 | 07/12/18 10:11:01 | 259  | 259  | 0.061          | 0.060         |
| 319579:6919 | 07/13/18 04:43:17 | 3128 | 3128 | 0.863          | 0.838         |
| 319625:6921 | 07/14/18 14:05:51 | 190  | 190  | 0.073          | 0.070         |
| 319639:6923 | 07/14/18 18:52:13 | 1479 | 1479 | 0.423          | 0.409         |
| 319656:6924 | 07/15/18 07:24:28 | 260  | 260  | 0.093          | 0.088         |
| 319657:6924 | 07/15/18 09:09:07 | 167  | 167  | 0.054          | 0.052         |
| 319658:6924 | 07/15/18 10:16:04 | 225  | 225  | 0.065          | 0.063         |
| 319659:6924 | 07/15/18 11:50:26 | 87   | 87   | 0.023          | 0.022         |
| 319678:6925 | 07/15/18 15:20:13 | 259  | 259  | 0.099          | 0.095         |
| 319687:6927 | 07/15/18 22:28:04 | 45   | 45   | 0.016          | 0.016         |
| 319697:6929 | 07/16/18 02:17:40 | 437  | 437  | 0.063          | 0.060         |
| 319698:6929 | 07/16/18 05:13:10 | 312  | 312  | 0.037          | 0.036         |
| 319756:6931 | 07/16/18 15:39:04 | 1923 | 1923 | 0.506          | 0.489         |
| 319840:6939 | 07/17/18 22:27:53 | 348  | 348  | 0.051          | 0.050         |
| 319841:6939 | 07/18/18 00:44:33 | 167  | 167  | 0.021          | 0.020         |
| 319847:6940 | 07/18/18 04:02:30 | 3    | 3    | 0.001          | 0.001         |
| 319848:6940 | 07/18/18 04:04:45 | 53   | 53   | 0.020          | 0.019         |
| 319849:6940 | 07/18/18 04:28:02 | 492  | 492  | 0.180          | 0.173         |
| 319851:6940 | 07/18/18 07:46:30 | 4    | 4    | 0.001          | 0.001         |
| 319853:6940 | 07/18/18 08:01:32 | 256  | 256  | 0.073          | 0.071         |
| 319854:6940 | 07/18/18 09:44:34 | 225  | 225  | 0.055          | 0.054         |
| 319908:6942 | 07/19/18 02:40:13 | 51   | 51   | 0.020          | 0.018         |
| 319909:6942 | 07/19/18 03:03:13 | 7    | 7    | 0.003          | 0.001         |
| 319910:6942 | 07/19/18 03:09:20 | 983  | 983  | 0.315          | 0.304         |
| 319912:6942 | 07/19/18 09:34:18 | 59   | 59   | 0.014          | 0.013         |
| 319913:6942 | 07/19/18 09:59:24 | 56   | 56   | 0.013          | 0.013         |
| 319914:6942 | 07/19/18 10:22:49 | 32   | 32   | 0.007          | 0.007         |
| 319915:6942 | 07/19/18 10:37:23 | 416  | 416  | 0.089          | 0.087         |
| 319941:6944 | 07/19/18 19:59:35 | 256  | 256  | 0.099          | 0.094         |
| 319942:6944 | 07/19/18 21:41:30 | 50   | 50   | 0.018          | 0.017         |
| 319950:6946 | 07/20/18 02:45:30 | 168  | 168  | 0.068          | 0.066         |
| 319991:6953 | 07/20/18 15:48:51 | 837  | 837  | 0.292          | 0.282         |
| 319992:6953 | 07/20/18 21:15:39 | 264  | 264  | 0.068          | 0.065         |
| 319993:6953 | 07/20/18 23:01:06 | 955  | 955  | 0.187          | 0.182         |
| 320002:6956 | 07/21/18 08:17:32 | 141  | 141  | 0.052          | 0.050         |
| 320006:6956 | 07/21/18 09:46:32 | 340  | 340  | 0.118          | 0.114         |
| 320010:6956 | 07/21/18 14:27:42 | 330  | 330  | 0.077          | 0.075         |
| 320011:6956 | 07/21/18 16:38:02 | 302  | 302  | 0.063          | 0.061         |
| 320012:6956 | 07/21/18 18:38:20 | 99   | 99   | 0.019          | 0.018         |
| 320023:6957 | 07/21/18 21:33:03 | 276  | 276  | 0.104          | 0.099         |
| 320024:6957 | 07/21/18 23:21:36 | 410  | 410  | 0.130          | 0.126         |
| 320025:6957 | 07/22/18 02:03:20 | 113  | 113  | 0.031          | 0.030         |
| 320026:6957 | 07/22/18 02:49:54 | 204  | 204  | 0.051          | 0.050         |
| 320038:6960 | 07/22/18 07:09:04 | 621  | 621  | 0.227          | 0.218         |
| 320039:6960 | 07/22/18 11:13:45 | 30   | 30   | 0.009          | 0.008         |
| 320040:6960 | 07/22/18 11:29:06 | 737  | 737  | 0.183          | 0.177         |
| 320059:6961 | 07/22/18 18:43:23 | 105  | 105  | 0.044          | 0.041         |
| 320060:6961 | 07/22/18 19:27:05 | 42   | 42   | 0.016          | 0.016         |
| 320061:6961 | 07/22/18 19:46:28 | 49   | 49   | 0.019          | 0.018         |
| 320062:6961 | 07/22/18 20:06:50 | 21   | 21   | 0.008          | 0.007         |
| 320063:6961 | 07/22/18 20:17:40 | 64   | 64   | 0.024          | 0.022         |
| 320064:6961 | 07/22/18 20:48:07 | 200  | 200  | 0.068          | 0.065         |
| 320065:6961 | 07/22/18 22:09:30 | 920  | 920  | 0.235          | 0.227         |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+-------+-------+-------------------+------------------+
| 23    | 65   | 26241 | 26241 | 7.167             | 6.909            |
+-------+------+-------+-------+-------------------+------------------+
#Check JSON:
#(run,ls) in json but not in results: []
